time;value
22,91;2,00
22,93;2,00
22,95;3,00
22,97;3,00
22,98;3,00
23,00;3,00
23,02;4,00
23,04;3,00
23,05;3,00
23,07;3,00
23,09;3,00
23,10;3,00
23,13;3,00
23,14;3,00
23,16;3,00
23,18;3,00
23,19;3,00
23,21;3,00
23,23;3,00
23,24;3,00
23,26;2,00
23,28;2,00
